권역,시군,읍면동,주용도,용도지역,건물유형,건축년도,규모,건폐율(%),거래유형,매도자,매수자,대지(평),연면적(평),거래금액(만원),대지평단가(만원),연면적평단가(만원),거래월,신규
남부,수원시,신동,공장,일반공업,집합,2021,소형(~500평),0,직거래,개인,개인,0,6.5,16987,0,2599.8,2026-01,
남부,수원시,신동,공장,일반공업,집합,2019,소형(~500평),0,직거래,법인,개인,0,14.3,18588,0,1300.5,2026-02,
남부,수원시,신동,공장,일반공업,집합,2019,소형(~500평),0,직거래,법인,개인,0,12.9,16878,0,1305.1,2026-02,
남부,수원시,이의동,공장,준주거,집합,2018,소형(~500평),0,중개거래,개인,법인,0,24.1,45500,0,1885.1,2026-02,
남부,수원시,신동,공장,일반공업,집합,2021,소형(~500평),0,중개거래,개인,개인,0,14.7,23600,0,1607.9,2026-02,
남부,수원시,신동,공장,일반공업,집합,2008,소형(~500평),0,중개거래,법인,법인,0,44.9,41000,0,912.7,2026-03,
남부,수원시,원천동,공장,제2종일반주거,집합,1993,소형(~500평),0,중개거래,법인,법인,0,55.4,31000,0,559.2,2026-04,
남부,수원시,원천동,공장,제2종일반주거,집합,1993,소형(~500평),0,중개거래,법인,법인,0,54.6,31000,0,568.1,2026-04,
남부,수원시,신동,공장,일반공업,집합,2008,소형(~500평),0,중개거래,개인,법인,0,43.1,41500,0,962.1,2026-04,
남부,수원시,신동,공장,일반공업,집합,2008,소형(~500평),0,중개거래,법인,법인,0,32.6,25000,0,766.0,2026-04,
남부,수원시,신동,공장,일반공업,집합,2008,소형(~500평),0,중개거래,개인,법인,0,43.1,40000,0,927.4,2026-04,
남부,수원시,신동,공장,일반공업,집합,2008,소형(~500평),0,중개거래,법인,법인,0,42.8,44000,0,1027.6,2026-04,
남부,수원시,매탄동,공장,일반공업,일반,1994,중형(500~2천평),34.5,직거래,법인,법인,1182.8,408.1,1848247,1562.6,4528.6,2026-05,
남부,수원시,매탄동,공장,일반공업,일반,1989,소형(~500평),55.7,직거래,법인,법인,268.0,149.4,401753,1499.0,2689.0,2026-05,
남부,수원시,원천동,공장,일반공업,집합,2021,소형(~500평),0,중개거래,법인,개인,0,11.2,12000,0,1076.2,2026-05,
남부,수원시,신동,공장,일반공업,집합,2019,소형(~500평),0,중개거래,개인,법인,0,14.3,15900,0,1112.4,2026-05,
남부,수원시,원천동,공장,일반공업,집합,1989,소형(~500평),0,직거래,개인,개인,0,73.3,30000,0,409.1,2026-05,
남부,수원시,영통동,공장,준주거,집합,2006,소형(~500평),0,직거래,개인,법인,0,54.9,59000,0,1075.0,2026-05,
남부,수원시,원천동,공장,일반공업,집합,2023,소형(~500평),0,직거래,법인,개인,0,15.4,20465,0,1326.8,2026-05,
남부,수원시,이의동,공장,준주거,집합,2018,소형(~500평),0,직거래,개인,법인,0,9.8,10000,0,1016.5,2026-06,
남부,수원시,원천동,공장,일반공업,집합,2009,소형(~500평),0,중개거래,법인,개인,0,24.1,10000,0,414.4,2026-06,
남부,수원시,이의동,공장,준주거,집합,2018,소형(~500평),0,직거래,개인,법인,0,23.9,45000,0,1879.9,2026-06,
남부,수원시,이의동,공장,준주거,집합,2018,소형(~500평),0,중개거래,개인,개인,0,12.1,19500,0,1614.8,2026-06,
남부,성남시,고등동,공장,근린상업,집합,2020,소형(~500평),0,중개거래,개인,개인,0,15.2,27800,0,1833.6,2025-07,
남부,성남시,금토동,공장,용도미지정,집합,2022,소형(~500평),0,중개거래,법인,법인,0,41.0,90518,0,2209.2,2025-07,
남부,성남시,고등동,공장,준주거,집합,2021,소형(~500평),0,중개거래,법인,법인,0,11.1,25000,0,2261.8,2025-08,
남부,성남시,시흥동,공장,준공업,집합,2019,소형(~500평),0,중개거래,법인,법인,0,32.3,75000,0,2324.1,2025-09,
남부,성남시,시흥동,공장,준주거,집합,2023,소형(~500평),0,직거래,법인,법인,0,27.5,65439,0,2380.1,2025-11,
남부,성남시,시흥동,공장,준공업,집합,2019,소형(~500평),0,중개거래,법인,법인,0,30.9,70000,0,2262.9,2026-01,
남부,성남시,시흥동,공장,준공업,집합,,소형(~500평),0,중개거래,법인,법인,0,27.0,69000,0,2554.3,2025-11,
남부,성남시,고등동,공장,준주거,집합,2021,소형(~500평),0,직거래,개인,개인,0,7.1,10500,0,1475.8,2025-12,
남부,성남시,시흥동,공장,준공업,집합,2019,소형(~500평),0,중개거래,법인,법인,0,32.5,70000,0,2156.4,2026-01,
남부,성남시,시흥동,공장,준주거,집합,2023,소형(~500평),0,직거래,법인,법인,0,46.3,154672,0,3339.9,2026-01,
남부,성남시,고등동,창고시설,준주거,집합,2021,소형(~500평),0,중개거래,법인,개인,0,7.4,7000,0,949.9,2026-02,
남부,성남시,시흥동,공장,준주거,집합,2023,소형(~500평),0,직거래,법인,법인,0,41.9,132878,0,3172.7,2026-03,
남부,성남시,고등동,공장,준주거,집합,2021,소형(~500평),0,중개거래,개인,법인,0,14.2,29000,0,2038.0,2026-05,
남부,성남시,고등동,공장,준주거,집합,2021,소형(~500평),0,중개거래,법인,개인,0,32.4,21000,0,647.6,2026-06,
남부,성남시,고등동,공장,준주거,집합,2021,소형(~500평),0,중개거래,법인,개인,0,36.1,70000,0,1940.0,2026-06,
남부,성남시,상대원동,공장,일반공업,집합,2019,소형(~500평),0,중개거래,법인,법인,0,27.5,33000,0,1202.0,2025-07,
남부,성남시,상대원동,공장,일반공업,집합,2019,소형(~500평),0,중개거래,법인,법인,0,32.5,40000,0,1232.0,2025-07,
남부,성남시,상대원동,공장,일반공업,집합,2019,소형(~500평),0,중개거래,법인,개인,0,27.5,37600,0,1368.8,2025-07,
남부,성남시,상대원동,공장,일반공업,집합,2003,소형(~500평),0,직거래,개인,법인,0,43.0,28250,0,656.9,2025-07,
